name;group_name;group_folder_path;target
Верстак в гараж цена;Верстаки;нигерыю/s/Верстак в гараж - /k/;/k/f-verstak-v-garazh
Стол сварщика;Столы производственные;нигерыю/s/Стол сварщика - /k/;/k/f-stol-svarshchika
Стол сварщика купить;Столы производственные;нигерыю/s/Стол сварщика - /k/;/k/f-stol-svarshchika
Стол сварщика цена;Столы производственные;нигерыю/s/Стол сварщика - /k/;/k/f-stol-svarshchika
Столы монтажные;Столы производственные;нигерыю/s/Столы монтажные - /k/;/k/f-stoly-montazhnye
Столы монтажные купить;Столы производственные;нигерыю/s/Столы монтажные - /k/;/k/f-stoly-montazhnye
Столы монтажные цена;Столы производственные;нигерыю/s/Столы монтажные - /k/;/k/f-stoly-montazhnye
Стол промышленный;Столы производственные;нигерыю/s/Стол промышленный - /k/;/k/f-stol-promyshlennyy
Стол промышленный купить;Столы производственные;нигерыю/s/Стол промышленный - /k/;/k/f-stol-promyshlennyy
Стол промышленный цена;Столы производственные;нигерыю/s/Стол промышленный - /k/;/k/f-stol-promyshlennyy
Столы для фрезерных станков;Столы производственные;нигерыю/s/Столы для фрезерных станков - /k/;/k/stoly-dlya-frezernyh-stankov
Столы для фрезерных станков купить;Столы производственные;нигерыю/s/Столы для фрезерных станков - /k/;/k/stoly-dlya-frezernyh-stankov
Столы для фрезерных станков цена;Столы производственные;нигерыю/s/Столы для фрезерных станков - /k/;/k/stoly-dlya-frezernyh-stankov
Сварочно сборочный стол;Столы производственные;нигерыю/s/Сварочно сборочный стол - /k/;/k/f-svarochno-sborochnyy-stol
Сварочно сборочный стол купить;Столы производственные;нигерыю/s/Сварочно сборочный стол - /k/;/k/f-svarochno-sborochnyy-stol
Сварочно сборочный стол цена;Столы производственные;нигерыю/s/Сварочно сборочный стол - /k/;/k/f-svarochno-sborochnyy-stol
Рабочий стол Worx wx051;Столы производственные;нигерыю/s/Рабочий стол Worx wx051 - /k/;/k/f-worx-wx051
Рабочий стол Worx wx051 купить;Столы производственные;нигерыю/s/Рабочий стол Worx wx051 - /k/;/k/f-worx-wx051
Рабочий стол Worx wx051 цена;Столы производственные;нигерыю/s/Рабочий стол Worx wx051 - /k/;/k/f-worx-wx051
Стол слесарный;Столы производственные;нигерыю/s/Стол слесарный - /k/;/k/stol-slesarnyy
Стол слесарный купить;Столы производственные;нигерыю/s/Стол слесарный - /k/;/k/stol-slesarnyy
Стол слесарный цена;Столы производственные;нигерыю/s/Стол слесарный - /k/;/k/stol-slesarnyy
Тележка для инструмента;Тележки инструментальные;нигерыю/s/Тележка для инструмента - /k/;/k/telezhki-dlya-instrumentov
Тележка для инструмента купить;Тележки инструментальные;нигерыю/s/Тележка для инструмента - /k/;/k/telezhki-dlya-instrumentov
Тележка для инструмента цена;Тележки инструментальные;нигерыю/s/Тележка для инструмента - /k/;/k/telezhki-dlya-instrumentov
Тележка для ящиков;Тележки инструментальные;нигерыю/s/Тележка для ящиков - /k/;/k/f-telezhka-dlya-yashchikov
Тележка для ящиков купить;Тележки инструментальные;нигерыю/s/Тележка для ящиков - /k/;/k/f-telezhka-dlya-yashchikov
Тележка для ящиков цена;Тележки инструментальные;нигерыю/s/Тележка для ящиков - /k/;/k/f-telezhka-dlya-yashchikov
